訂單編號,訂單狀態,下單時間,商品名稱,商品SKU,數量,商品原價(NTD),賣家折扣(NTD),蝦皮平台折扣(NTD),小計(NTD),買家付款金額(NTD),蝦皮手續費(NTD),運費補貼-賣家負擔(NTD),賣家實際入帳(NTD)
2401150001,已完成,2024-01-15 09:12,iPhone15 透明保護殼(黑框),CASE-IP15-BLK,1,350,151,0,199,199,10,45,144
2401150002,已完成,2024-01-15 10:45,iPhone15 玻璃保護貼(2入),GLASS-IP15-2P,1,299,0,0,299,299,15,0,284
2401150003,已完成,2024-01-15 11:30,iPhone15 透明保護殼(黑框),CASE-IP15-BLK,2,350,151,0,199,398,20,45,333
2401150004,已完成,2024-01-15 13:20,MagSafe 磁吸充電線 2M,CABLE-MAG-2M,1,490,0,0,490,490,25,0,465
2401150004,已完成,2024-01-15 13:20,三合一夾式鏡頭組,LENS-CLIP-3IN1,1,350,0,0,350,350,18,0,332
2401150005,已完成,2024-01-15 14:55,A1藍牙耳機(白),BT-EAR-A1-WHT,1,1280,0,0,1280,1280,64,0,1216
2401150006,已完成,2024-01-15 16:10,懶人手機支架桌面(可調),STAND-DESK-ADJ,1,420,0,0,420,420,21,0,399
2401150007,已完成,2024-01-15 17:33,iPhone15 透明保護殼(黑框),CASE-IP15-BLK,1,350,151,0,199,199,10,45,144
2401150008,已完成,2024-01-15 19:05,15W無線充電盤(附線),CHG-WL-15W,1,680,0,0,680,680,34,0,646
2401160009,已完成,2024-01-16 08:30,iPhone15 玻璃保護貼(2入),GLASS-IP15-2P,2,299,0,0,299,598,30,0,568
2401160010,已完成,2024-01-16 10:15,iPhone15 透明保護殼(黑框),CASE-IP15-BLK,1,350,151,0,199,199,10,45,144
2401160011,已完成,2024-01-16 11:40,磁吸行動電源10000mAh,POWER-MAG-10K,1,1490,0,0,1490,1490,75,0,1415
2401160012,已完成,2024-01-16 13:00,懶人手機支架桌面(可調),STAND-DESK-ADJ,2,420,0,0,420,840,42,0,798
2401160013,已完成,2024-01-16 14:22,A1藍牙耳機(白),BT-EAR-A1-WHT,1,1280,0,0,1280,1280,64,0,1216
2401160014,已完成,2024-01-16 15:50,MagSafe 磁吸充電線 2M,CABLE-MAG-2M,1,490,0,0,490,490,25,0,465
2401160015,已完成,2024-01-16 17:10,防水手機袋L號,BAG-WATER-L,1,180,0,0,180,180,9,0,171
2401160016,已完成,2024-01-16 19:30,iPhone14 透明保護殼,CASE-IP14-CLR,1,280,0,0,280,280,14,0,266
2401170017,已完成,2024-01-17 09:05,iPhone15 透明保護殼(黑框),CASE-IP15-BLK,3,350,151,0,199,597,30,45,522
2401170018,已完成,2024-01-17 10:45,三合一夾式鏡頭組,LENS-CLIP-3IN1,1,350,0,0,350,350,18,0,332
2401170019,已完成,2024-01-17 12:00,15W無線充電盤(附線),CHG-WL-15W,1,680,0,0,680,680,34,0,646
2401170020,已完成,2024-01-17 13:30,iPhone15 玻璃保護貼(2入),GLASS-IP15-2P,1,299,0,0,299,299,15,0,284
2401170021,已完成,2024-01-17 14:55,MagSafe 磁吸充電線 2M,CABLE-MAG-2M,2,490,0,0,490,980,49,0,931
2401170022,已完成,2024-01-17 16:20,懶人手機支架桌面(可調),STAND-DESK-ADJ,1,420,0,0,420,420,21,0,399
2401170023,已完成,2024-01-17 18:40,iPhone15 透明保護殼(黑框),CASE-IP15-BLK,1,350,151,0,199,199,10,45,144
2401180024,已完成,2024-01-18 09:50,A1藍牙耳機(白),BT-EAR-A1-WHT,1,1280,0,0,1280,1280,64,0,1216
2401180025,已完成,2024-01-18 11:15,磁吸行動電源10000mAh,POWER-MAG-10K,1,1490,0,0,1490,1490,75,0,1415
2401180026,已完成,2024-01-18 13:30,iPhone15 透明保護殼(黑框),CASE-IP15-BLK,2,350,151,0,199,398,20,45,333
2401180027,已完成,2024-01-18 14:45,iPhone15 玻璃保護貼(2入),GLASS-IP15-2P,1,299,0,0,299,299,15,0,284
2401180028,已完成,2024-01-18 16:00,防水手機袋L號,BAG-WATER-L,1,180,0,0,180,180,9,0,171
2401180029,已完成,2024-01-18 17:30,iPhone14 透明保護殼,CASE-IP14-CLR,1,280,0,0,280,280,14,0,266
2401180030,已完成,2024-01-18 19:10,三合一夾式鏡頭組,LENS-CLIP-3IN1,1,350,0,0,350,350,18,0,332
2401190031,已完成,2024-01-19 10:00,15W無線充電盤(附線),CHG-WL-15W,2,680,0,0,680,1360,68,0,1292
2401190032,已完成,2024-01-19 11:20,iPhone15 透明保護殼(黑框),CASE-IP15-BLK,1,350,151,0,199,199,10,45,144
2401190033,已完成,2024-01-19 12:50,懶人手機支架桌面(可調),STAND-DESK-ADJ,1,420,0,0,420,420,21,0,399
2401190034,已完成,2024-01-19 14:15,MagSafe 磁吸充電線 2M,CABLE-MAG-2M,1,490,0,0,490,490,25,0,465
2401190035,已完成,2024-01-19 16:00,iPhone15 玻璃保護貼(2入),GLASS-IP15-2P,2,299,0,0,299,598,30,0,568
2401200036,已完成,2024-01-20 09:30,iPhone15 透明保護殼(黑框),CASE-IP15-BLK,4,350,151,0,199,796,40,45,711
2401200037,已完成,2024-01-20 11:00,A1藍牙耳機(白),BT-EAR-A1-WHT,1,1280,0,0,1280,1280,64,0,1216
2401200038,已完成,2024-01-20 13:20,磁吸行動電源10000mAh,POWER-MAG-10K,1,1490,0,0,1490,1490,75,0,1415
2401200039,已完成,2024-01-20 15:00,懶人手機支架桌面(可調),STAND-DESK-ADJ,2,420,0,0,420,840,42,0,798
2401200040,已完成,2024-01-20 17:30,iPhone14 透明保護殼,CASE-IP14-CLR,2,280,0,0,280,560,28,0,532
2401210041,已完成,2024-01-21 10:00,iPhone15 透明保護殼(黑框),CASE-IP15-BLK,2,350,151,0,199,398,20,45,333
2401210042,已完成,2024-01-21 11:30,三合一夾式鏡頭組,LENS-CLIP-3IN1,2,350,0,0,350,700,35,0,665
2401210043,已完成,2024-01-21 13:00,iPhone15 玻璃保護貼(2入),GLASS-IP15-2P,1,299,0,0,299,299,15,0,284
2401210044,已完成,2024-01-21 14:30,15W無線充電盤(附線),CHG-WL-15W,1,680,0,0,680,680,34,0,646
2401210045,已完成,2024-01-21 16:00,A1藍牙耳機(白),BT-EAR-A1-WHT,1,1280,0,0,1280,1280,64,0,1216
